ARG,P,sig,Mild,Mod,Sev,trend,FC_Sev_Mild,SWC_rho,SWC_sig,EC_rho,EC_sig,pH_rho,pH_sig
tetracenomycin_c,8.262823603816203e-07,***,0.0070057228177573,0.0088973933680692,0.0131201463830638,UP,1.87,-0.8000908079736165,***,-0.7000906070673513,***,-0.7372753444611144,***
puromycin,4.610664926571431e-05,***,0.0046735482285991,0.0067982687874786,0.012270208058911,UP,2.63,-0.7156997378596854,***,-0.5774690425853216,***,-0.637365964073728,***
tunicamycin,0.0003135813347242,***,4.805497489127562e-06,0.0,0.0001285503887719,NONLINEAR,22.32,-0.5381764901303852,***,-0.4578976815722663,**,-0.4637806781841058,**
qa_compound,0.0008221447526162,***,0.0016606336102267,0.0029582708689933,0.0036609778707065,UP,2.2,-0.5203990071125846,***,-0.30157052250075506,*,-0.4818758550656941,**
AF,0.0011148669181571,**,0.0011733124970576,0.0009770814317974,0.0004532584741717,DOWN,0.39,0.573835610243799,***,0.49473326572806176,***,0.5422724046423405,***
lincomycin,0.0016768419885731,**,0.00164641063341,0.0019422166155563,0.0029528810281703,UP,1.79,-0.5367181397398085,***,-0.412866203563878,**,-0.4469113477948249,**
streptomycin,0.0020111977448239,**,0.0010008280170279,0.0014657504725116,0.0017229110702419,UP,1.72,-0.5112572707797416,***,-0.6014799154334038,***,-0.3315964393658459,*
tigecycline,0.0021546822452606,**,0.0003591404354847,0.0004247281455102,5.877801368150098e-05,NONLINEAR,0.17,0.42471729310463274,**,0.5644573938452746,***,0.37836202391772067,*
na_antimicrobials,0.0076024768464726,**,0.0015461035453338,0.0009509456172201,0.0016700592511599,NONLINEAR,1.08,-0.1553339661183905,,-0.11839323467230443,,-0.1909832373391538,
fosmidomycin,0.0079784417465161,**,0.0073197947457237,0.0062084900129061,0.0078984460924412,NONLINEAR,1.08,-0.09912362040239706,,-0.27650256720024163,,-0.2834919228830302,
cephalosporin,0.0135565519937106,*,0.0072417534393253,0.0053044856661201,0.0057499472737101,NONLINEAR,0.79,0.22771234138172616,,0.2778616732105105,,0.2452046546620136,
CA,0.0137441330297535,*,0.0027712123665983,0.002348168797862,0.0015859844490001,DOWN,0.57,0.37337571038768763,*,0.49697976442162484,***,0.5502190064266803,***
TSKCN,0.0176133377505258,*,0.0019553622253822,0.0019101216936182,0.0012020201031814,DOWN,0.61,0.3977788577885827,**,0.4346118997281788,**,0.33695816726267463,*
methicillin,0.0186458931465618,*,0.0003720603790984,0.0002852771636668,0.0016795358899153,NONLINEAR,4.5,-0.2649837570949829,,-0.418762776296358,**,-0.3832439472906362,*
erythromycin,0.0236896989649942,*,0.0004466898951622,0.0002859691276487,0.0002211735933654,DOWN,0.5,0.3293462285792523,*,0.4226704401368914,**,0.4366589351657162,**
polymyxin,0.0285539698838132,*,0.0074582912734755,0.0066262173273845,0.0060036152211436,DOWN,0.8,0.45791788358150043,**,0.3103292056780429,*,0.3560640427260222,*
ITA,0.0328050384162416,*,1.726239709769351e-05,0.0,9.869085126603416e-05,NONLINEAR,5.46,-0.3972956962322366,**,-0.30874690536823374,*,-0.2851000878678152,
NR,0.0410489865967472,*,0.0001252075543655,0.0001920060037457,0.0003730515657643,UP,2.96,-0.45400080457691855,**,-0.3967618358380245,**,-0.2778977587099885,
