ARG,P,H,sig,Mild,Mod,Sev,trend,q,fdr_sig
tetracenomycin_c,8.262823603816203e-07,28.012658562367847,***,0.007005722817757309,0.008897393368069299,0.013120146383063861,UP,6.527630647014801e-05,***
puromycin,4.610664926571431e-05,19.969106765327695,***,0.004673548228599103,0.006798268787478652,0.012270208058911061,UP,0.0018212126459957153,**
tunicamycin,0.000313581334724243,16.13490358126719,***,4.805497489127562e-06,0.0,0.00012855038877192357,NONLINEAR,0.008257641814405066,**
qa_compound,0.000822144752616229,14.207188160676537,***,0.0016606336102267688,0.002958270868993399,0.003660977870706575,UP,0.016237358864170524,*
AF,0.0011148669181571661,13.59804047421279,**,0.0011733124970576812,0.0009770814317974074,0.00045325847417176024,DOWN,0.017614897306883225,*
lincomycin,0.001676841988573167,12.781686046511624,**,0.0016464106334100812,0.0019422166155563796,0.002952881028170309,UP,0.021277487171949133,*
streptomycin,0.0020111977448239327,12.41804968287525,**,0.0010008280170279984,0.0014657504725116468,0.0017229110702419001,UP,0.021277487171949133,*
tigecycline,0.002154682245260672,12.280224032586586,**,0.0003591404354847917,0.0004247281455102675,5.877801368150098e-05,NONLINEAR,0.021277487171949133,*
na_antimicrobials,0.007602476846472649,9.75856236786467,**,0.0015461035453338222,0.0009509456172201655,0.0016700592511599216,NONLINEAR,0.06302968979747738,
fosmidomycin,0.007978441746516124,9.662024312896392,**,0.0073197947457237155,0.006208490012906172,0.007898446092441233,NONLINEAR,0.06302968979747738,
cephalosporin,0.013556551993710643,8.601770613107817,*,0.007241753439325379,0.0053044856661201185,0.00574994727371019,NONLINEAR,0.09048220911254415,
CA,0.013744133029753542,8.5742864693446,*,0.0027712123665983314,0.0023481687978620333,0.0015859844490001902,DOWN,0.09048220911254415,
TSKCN,0.017613337750525874,8.07819767441859,*,0.0019553622253822163,0.001910121693618274,0.0012020201031814012,DOWN,0.10521611132702768,
methicillin,0.018645893146561867,7.964258727520032,*,0.0003720603790984943,0.00028527716366686973,0.001679535889915392,NONLINEAR,0.10521611132702768,
erythromycin,0.023689698964994267,7.48542993630574,*,0.0004466898951622439,0.0002859691276487931,0.00022117359336541325,DOWN,0.12476574788230313,
polymyxin,0.0285539698838132,7.1119186046511516,*,0.007458291273475532,0.006626217327384551,0.0060036152211436645,DOWN,0.14098522630132768,
ITA,0.03280503841624164,6.834346330275233,*,1.726239709769351e-05,0.0,9.869085126603416e-05,NONLINEAR,0.15244694322841704,
NR,0.041048986596747286,6.385978260869563,*,0.0001252075543655343,0.00019200600374573947,0.0003730515657643517,UP,0.1801594411746131,
bacitracin,0.06967959350973936,5.327695560253687,,0.14757134907518696,0.14911343017497727,0.13866678805473687,NONLINEAR,0.2897204151194426,
NTSDG,0.07546932187285922,5.168058076225031,,0.00032781282007103454,0.00043587388230649873,0.00022256140439888338,NONLINEAR,0.2981038213977939,
GFRE,0.0803986047615691,5.041516913319242,,0.006055566806952628,0.005946266352007498,0.004279142530902077,DOWN,0.30151260379963013,
ASG,0.08489681421320325,4.932637420718834,,0.0011259366816549472,0.0007955441705304955,0.0007289460868777774,DOWN,0.30151260379963013,
bleomycin,0.08778215047331003,4.865794193158639,,0.0005209106649552206,0.0003802370976563584,0.0002865886206857023,DOWN,0.30151260379963013,
EC,0.10459253248891905,4.515366242038205,,0.00035055627506874965,0.00019369153560928995,0.00027366883532310666,NONLINEAR,0.3380436520556523,
chloramphenicol,0.11123150165179466,4.392283298097254,,0.01764572007058258,0.01855083665476023,0.022461380635876063,UP,0.3380436520556523,
AMA,0.11313626948617894,4.358324524312877,,0.003346014128194907,0.0031758569363498318,0.0022818031910836973,DOWN,0.3380436520556523,
SG,0.11553390639876723,4.316382460414126,,0.0,4.7921831781885025e-05,1.3178726574699272e-05,NONLINEAR,0.3380436520556523,
sulfonamide,0.12681862571191282,4.129994714587724,,0.008613480916934325,0.009058605901993567,0.008154494029628808,NONLINEAR,0.3510996520551492,
kasugamycin,0.12888468239999148,4.09767441860464,,0.004401648434000033,0.004115993876603003,0.0036404986820376545,DOWN,0.3510996520551492,
CCCCCC,0.1417751020130849,3.9070265310803567,,0.00022380789480618823,0.0001305571626794772,0.00022101867151878062,NONLINEAR,0.36796436314470443,
PNKLRG,0.14976848474771948,3.7973292244478287,,1.726239709769351e-05,8.896500721747567e-05,2.9478322581706567e-05,NONLINEAR,0.36796436314470443,
Unknown,0.15108019307532192,3.7798890063425006,,0.05131851379365238,0.05175331455466648,0.04266024496321275,NONLINEAR,0.36796436314470443,
EN,0.15565165053408977,3.7202695560253574,,0.0017590929439369408,0.0016324951056360542,0.0012260631701755196,DOWN,0.36796436314470443,
CCCP,0.1614990830647009,3.646511627906989,,0.0015600742047317579,0.0011672591089797243,0.001382538389749731,NONLINEAR,0.36796436314470443,
ATFBT,0.17394853982007974,3.497991543340362,,0.0032334334429330747,0.0023622970774463173,0.002009403042175641,DOWN,0.36796436314470443,
